Phase-Out,Net-Zero,Retrofitting,Lightweighting,Modal Shift,Scrap Age,Regulated EV manufacture,Emissions,Energy
2025,2020,0, 1400, 20,20,0,145.04114958464172,2203207319655.1846
2025,2020,0, 1400, 20,20,1,117.06980501672929,2191639119655.1846
2025,2020,0, 1400, 20,18,0,141.39775175665002,2185169219432.6753
2025,2020,0, 1400, 20,18,1,112.2480292830951,2173073819432.6753
2025,2020,0, 1400, 20,16,0,139.3434444357543,2184018115638.7188
2025,2020,0, 1400, 20,16,1,108.59916907604851,2171075015638.7188
2025,2020,0, 1400, 20,14,0,138.41912512230505,2196582073346.0464
2025,2020,0, 1400, 20,14,1,106.01136481285762,2182472073346.0464
2025,2020,0, 1400, 20,12,0,137.5078044435365,2213413077586.192
2025,2020,0, 1400, 20,12,1,103.9030854505182,2197915477586.192
2025,2020,0, 1400, 20,10,0,136.28183148377747,2232874800437.9385
2025,2020,0, 1400, 20,10,1,101.95037587502748,2215771900437.9385
2025,2020,0, 1400, 0,20,0,129.00354220058722,1950166329343.1543
2025,2020,0, 1400, 0,20,1,106.54580843436476,1941431229343.1543
2025,2020,0, 1400, 0,18,0,125.3481900018136,1931943373116.713
2025,2020,0, 1400, 0,18,1,101.71207832994864,1922681073116.713
2025,2020,0, 1400, 0,16,0,123.30143497171801,1930840324721.9033
2025,2020,0, 1400, 0,16,1,98.0813266597514,1920729324721.9033
2025,2020,0, 1400, 0,14,0,122.42260199526432,1943744493555.9983
2025,2020,0, 1400, 0,14,1,95.5576403962777,1932462693555.9983
2025,2020,0, 1400, 0,12,0,121.58680766420997,1960982405424.7183
2025,2020,0, 1400, 0,12,1,93.51929279435667,1948317805424.7183
2025,2020,0, 1400, 0,10,0,120.48350266086669,1981221691229.6907
2025,2020,0, 1400, 0,10,1,91.68428951652837,1966947991229.6907
2025,2020,0, 1400, -20,20,0,109.40757766111182,1637389817994.5088
2025,2020,0, 1400, -20,20,1,91.97275306518438,1630696917994.5088
2025,2020,0, 1400, -20,18,0,106.00934553351286,1616864955376.2349
2025,2020,0, 1400, -20,18,1,87.69430052028291,1609834155376.2349
2025,2020,0, 1400, -20,16,0,103.9949823864498,1611117280813.0293
2025,2020,0, 1400, -20,16,1,84.261777796779,1603486180813.0293
2025,2020,0, 1400, -20,14,0,102.82954342573247,1616001225896.0208
2025,2020,0, 1400, -20,14,1,81.60180470790002,1607522925896.0208
2025,2020,0, 1400, -20,12,0,102.57542802898925,1636691303865.4702
2025,2020,0, 1400, -20,12,1,80.0587872862693,1626864003865.4702
2025,2020,0, 1400, -20,10,0,101.97776770427672,1660083886609.7515
2025,2020,0, 1400, -20,10,1,78.70831619497339,1648649486609.7515
2025,2020,0, 1400, -40,20,0,89.71769685343023,1334301578945.4297
2025,2020,0, 1400, -40,20,1,76.82933184412025,1329353978945.4297
2025,2020,0, 1400, -40,18,0,86.86885736150234,1312911895227.4172
2025,2020,0, 1400, -40,18,1,73.48789193516987,1307775195227.4172
2025,2020,0, 1400, -40,16,0,85.17868945570902,1304461012248.73
2025,2020,0, 1400, -40,16,1,70.69946736191653,1298902712248.73
2025,2020,0, 1400, -40,14,0,84.10470527662534,1304147147763.266
2025,2020,0, 1400, -40,14,1,68.34523861836702,1297984647763.266
2025,2020,0, 1400, -40,12,0,83.4288118281004,1311962605196.0127
2025,2020,0, 1400, -40,12,1,66.48479063315459,1304950005196.0127
2025,2020,0, 1400, -40,10,0,83.40048220881968,1338880199615.9275
2025,2020,0, 1400, -40,10,1,65.67631023935388,1330275899615.9275
2025,2020,0, 1400, -60,20,0,69.3673643376189,1026055859033.1753
2025,2020,0, 1400, -60,20,1,60.775120998078904,1022757459033.1753
2025,2020,0, 1400, -60,18,0,67.15024872624984,1007676500166.7306
2025,2020,0, 1400, -60,18,1,58.44494955329485,1004334700166.7306
2025,2020,0, 1400, -60,16,0,66.14361636805049,1000473900495.6675
2025,2020,0, 1400, -60,16,1,56.727680527915496,996859300495.6675
2025,2020,0, 1400, -60,14,0,65.32680914331763,996674721718.8289
2025,2020,0, 1400, -60,14,1,54.90704080641596,992655821718.8289
2025,2020,0, 1400, -60,12,0,63.853527134368754,989385953965.1307
2025,2020,0, 1400, -60,12,1,52.83248216203377,984936653965.1307
2025,2020,0, 1400, -60,10,0,64.68132548140618,1016771359928.3816
2025,2020,0, 1400, -60,10,1,52.491876805728694,1010998159928.3816
2025,2020,0, 1400, -80,20,0,49.16299108438453,711240431266.2974
2025,2020,0, 1400, -80,20,1,44.86686941461453,709591231266.2974
2025,2020,0, 1400, -80,18,0,47.70412234661789,701357573292.6262
2025,2020,0, 1400, -80,18,1,43.4080006768479,699708373292.6262
2025,2020,0, 1400, -80,16,0,46.4178069880817,692838718023.4694
2025,2020,0, 1400, -80,16,1,41.814819484756704,691071718023.4694
2025,2020,0, 1400, -80,14,0,46.24035526036047,690678436541.4077
2025,2020,0, 1400, -80,14,1,40.99940983990796,688666536541.4077
2025,2020,0, 1400, -80,12,0,47.28439696292468,702442935742.9763
2025,2020,0, 1400, -80,12,1,40.703565303379676,699847835742.9763
2025,2020,0, 1400, -80,10,0,49.2739401803131,729534514990.3726
2025,2020,0, 1400, -80,10,1,41.074329384599764,725980414990.3726
2025,2020,0, 1120, 20,20,0,136.382355976256,2068364648986.521
2025,2020,0, 1120, 20,20,1,111.3375261163436,2058539898986.521
2025,2020,0, 1120, 20,18,0,132.23997657483628,2038031173659.275
2025,2020,0, 1120, 20,18,1,106.14048698928136,2027759023659.275
