,base,base_ren,p3030,p2525,third_rf,lw_20,lw_40,base_eu,mts1,mts2,d4343,d6666,d8181,extreme1,extreme2
total_cars,"[2708, 2732, 2756, 2780, 2805, 2828, 2852, 2877, 2901, 2925, 2949, 2974, 2999, 3023, 3047, 3071, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2756, 2780, 2805, 2828, 2852, 2877, 2901, 2925, 2949, 2974, 2999, 3023, 3047, 3071, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2756, 2780, 2805, 2829, 2853, 2877, 2901, 2926, 2950, 2975, 2999, 3023, 3048, 3072, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2755, 2780, 2805, 2829, 2854, 2878, 2902, 2927, 2951, 2975, 2999, 3023, 3048, 3072, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2756, 2780, 2805, 2829, 2853, 2877, 2901, 2926, 2950, 2974, 2999, 3023, 3047, 3071, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2756, 2780, 2805, 2828, 2852, 2877, 2901, 2925, 2949, 2974, 2999, 3023, 3047, 3071, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2756, 2780, 2805, 2828, 2852, 2877, 2901, 2925, 2949, 2974, 2999, 3023, 3047, 3071, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2708, 2732, 2756, 2780, 2805, 2828, 2852, 2877, 2901, 2925, 2949, 2974, 2999, 3023, 3047, 3071, 3096, 3120, 3144, 3169, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2632, 2618, 2601, 2586, 2572, 2558, 2544, 2528, 2515, 2500, 2485, 2472, 2457, 2443, 2428, 2414, 2399, 2385, 2370, 2356, 2341, 2341, 2341, 2341, 2341, 2341, 2341, 2341, 2341, 2341, 2341]","[2596, 2564, 2531, 2498, 2464, 2431, 2399, 2366, 2333, 2300, 2267, 2236, 2203, 2171, 2138, 2105, 2073, 2040, 2007, 1975, 1942, 1942, 1942, 1942, 1942, 1942, 1942, 1942, 1942, 1942, 1942]","[2558, 2506, 2454, 2402, 2350, 2296, 2243, 2191, 2139, 2087, 2036, 1984, 1932, 1880, 1828, 1776, 1725, 1673, 1621, 1569, 1517, 1517, 1517, 1517, 1517, 1517, 1517, 1517, 1517, 1517, 1517]","[2502, 2422, 2342, 2262, 2183, 2103, 2021, 1941, 1861, 1781, 1702, 1622, 1542, 1463, 1382, 1303, 1224, 1144, 1064, 984, 904, 904, 904, 904, 904, 904, 904, 904, 904, 904, 904]","[2466, 2368, 2270, 2172, 2074, 1976, 1878, 1778, 1679, 1582, 1484, 1387, 1288, 1190, 1092, 995, 897, 799, 701, 603, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505]","[2476, 2386, 2292, 2199, 2108, 2016, 1925, 1833, 1741, 1649, 1557, 1465, 1374, 1282, 1190, 1098, 1007, 915, 823, 731, 639, 639, 639, 639, 639, 639, 639, 639, 639, 639, 638]","[2449, 2342, 2235, 2126, 2021, 1914, 1809, 1703, 1596, 1490, 1383, 1277, 1170, 1064, 957, 851, 746, 639, 533, 426, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320]"
bev_cars,"[2, 4, 8, 18, 36, 61, 96, 144, 209, 297, 396, 534, 680, 824, 983, 1171, 1474, 1754, 2040, 2320, 2597, 2664, 2741, 2825, 2910, 2994, 3059, 3090, 3120, 3146, 3170]","[2, 4, 8, 18, 36, 61, 96, 144, 209, 297, 396, 534, 680, 824, 983, 1171, 1474, 1754, 2040, 2320, 2597, 2664, 2741, 2825, 2910, 2994, 3059, 3090, 3120, 3146, 3170]","[2, 4, 9, 20, 39, 66, 104, 157, 231, 334, 450, 619, 794, 964, 1148, 1359, 1661, 1941, 2226, 2505, 2781, 2847, 2921, 2999, 3075, 3145, 3193, 3193, 3193, 3193, 3193]","[2, 4, 11, 30, 68, 128, 241, 372, 522, 695, 859, 1027, 1202, 1372, 1556, 1767, 2069, 2349, 2631, 2903, 3160, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193, 3193]","[2, 4, 7, 15, 29, 48, 74, 109, 156, 220, 291, 390, 495, 598, 712, 846, 1057, 1251, 1449, 1642, 1831, 1870, 1913, 1960, 2009, 2059, 2101, 2127, 2155, 2184, 2217]","[2, 4, 8, 18, 36, 61, 96, 144, 209, 297, 396, 534, 680, 824, 983, 1171, 1474, 1754, 2040, 2320, 2597, 2664, 2741, 2825, 2910, 2994, 3059, 3090, 3120, 3146, 3170]","[2, 4, 8, 18, 36, 61, 96, 144, 209, 297, 396, 534, 680, 824, 983, 1171, 1474, 1754, 2040, 2320, 2597, 2664, 2741, 2825, 2910, 2994, 3059, 3090, 3120, 3146, 3170]","[2, 4, 8, 18, 36, 61, 96, 144, 209, 297, 396, 534, 680, 824, 983, 1171, 1474, 1754, 2040, 2320, 2597, 2664, 2741, 2825, 2910, 2994, 3059, 3090, 3120, 3146, 3170]","[1, 1, 1, 4, 13, 29, 54, 91, 147, 224, 313, 444, 580, 712, 856, 1029, 1220, 1427, 1637, 1846, 2054, 2093, 2142, 2196, 2253, 2305, 2341, 2341, 2341, 2341, 2341]","[1, 1, 1, 1, 5, 15, 34, 64, 110, 176, 245, 339, 430, 532, 658, 812, 986, 1174, 1364, 1542, 1717, 1743, 1780, 1824, 1871, 1915, 1942, 1942, 1942, 1942, 1942]","[1, 1, 1, 1, 1, 5, 16, 36, 68, 115, 162, 222, 282, 333, 388, 480, 635, 804, 975, 1133, 1277, 1288, 1312, 1347, 1389, 1433, 1464, 1477, 1489, 1498, 1506]","[1, 1, 1, 1, 1, 1, 3, 13, 33, 66, 96, 133, 170, 198, 228, 270, 322, 389, 532, 662, 778, 778, 782, 799, 825, 855, 875, 883, 890, 895, 899]","[1, 1, 1, 1, 1, 1, 1, 4, 16, 40, 59, 82, 103, 115, 130, 156, 189, 228, 264, 338, 436, 436, 436, 440, 455, 477, 489, 494, 498, 500, 502]","[1, 1, 3, 12, 34, 60, 103, 151, 195, 249, 325, 432, 536, 648, 756, 857, 857, 857, 823, 731, 639, 639, 639, 639, 639, 639, 639, 639, 639, 639, 638]","[1, 1, 1, 6, 22, 34, 60, 96, 128, 171, 235, 315, 407, 501, 591, 675, 675, 639, 533, 426, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320, 320]"
petrol_cars,"[2065, 2079, 2091, 2097, 2094, 2078, 2048, 2000, 1930, 1837, 1741, 1616, 1492, 1380, 1265, 1139, 956, 792, 627, 471, 309, 256, 198, 139, 83, 33, 0, 0, 0, 0, 0]","[2065, 2079, 2091, 2097, 2094, 2078, 2048, 2000, 1930, 1837, 1741, 1616, 1492, 1380, 1265, 1139, 956, 792, 627, 471, 309, 256, 198, 139, 83, 33, 0, 0, 0, 0, 0]","[2065, 2079, 2091, 2097, 2094, 2078, 2048, 2000, 1930, 1837, 1741, 1616, 1492, 1380, 1265, 1139, 956, 792, 627, 471, 309, 256, 198, 139, 83, 33, 0, 0, 0, 0, 0]","[2065, 2079, 2088, 2087, 2067, 2022, 1934, 1827, 1701, 1558, 1429, 1304, 1180, 1068, 953, 827, 644, 480, 318, 169, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2064, 2075, 2083, 2083, 2070, 2042, 1997, 1933, 1848, 1741, 1636, 1511, 1387, 1275, 1160, 1034, 852, 691, 530, 380, 228, 187, 144, 101, 60, 24, 0, 0, 0, 0, 0]","[2065, 2079, 2091, 2097, 2094, 2078, 2048, 2000, 1930, 1837, 1741, 1616, 1492, 1380, 1265, 1139, 956, 792, 627, 471, 309, 256, 198, 139, 83, 33, 0, 0, 0, 0, 0]","[2065, 2079, 2091, 2097, 2094, 2078, 2048, 2000, 1930, 1837, 1741, 1616, 1492, 1380, 1265, 1139, 956, 792, 627, 471, 309, 256, 198, 139, 83, 33, 0, 0, 0, 0, 0]","[2065, 2079, 2091, 2097, 2094, 2078, 2048, 2000, 1930, 1837, 1741, 1616, 1492, 1380, 1265, 1139, 956, 792, 627, 471, 309, 256, 198, 139, 83, 33, 0, 0, 0, 0, 0]","[2013, 2000, 1983, 1964, 1937, 1900, 1850, 1784, 1700, 1594, 1490, 1365, 1241, 1129, 1014, 888, 757, 620, 484, 353, 215, 183, 145, 104, 62, 25, 0, 0, 0, 0, 0]","[2013, 2000, 1981, 1950, 1910, 1862, 1803, 1729, 1638, 1527, 1417, 1292, 1168, 1056, 941, 815, 684, 547, 413, 294, 169, 148, 119, 86, 51, 19, 0, 0, 0, 0, 0]","[2013, 2000, 1981, 1950, 1900, 1840, 1770, 1688, 1590, 1473, 1360, 1235, 1111, 999, 884, 758, 627, 490, 356, 237, 122, 113, 95, 70, 42, 16, 0, 0, 0, 0, 0]","[2013, 2000, 1981, 1950, 1900, 1831, 1746, 1651, 1542, 1417, 1298, 1173, 1049, 937, 822, 696, 565, 428, 294, 175, 60, 60, 57, 45, 28, 10, 0, 0, 0, 0, 0]","[2013, 2000, 1981, 1950, 1900, 1831, 1743, 1639, 1523, 1393, 1270, 1145, 1021, 909, 794, 668, 537, 400, 266, 147, 32, 32, 32, 29, 19, 6, 0, 0, 0, 0, 0]","[1845, 1757, 1657, 1545, 1420, 1301, 1176, 1052, 940, 825, 699, 554, 417, 276, 143, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1831, 1743, 1636, 1518, 1387, 1263, 1138, 1014, 902, 787, 661, 530, 393, 259, 132, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
diesel_cars,"[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[639, 645, 649, 650, 650, 650, 650, 650, 650, 645, 634, 615, 588, 554, 510, 449, 356, 266, 173, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[640, 647, 651, 653, 653, 653, 653, 653, 653, 648, 637, 618, 591, 557, 513, 452, 358, 267, 174, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[618, 617, 617, 617, 617, 617, 617, 617, 617, 616, 605, 586, 559, 525, 481, 420, 345, 261, 172, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[582, 563, 549, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 525, 481, 420, 345, 261, 172, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[544, 505, 472, 451, 449, 449, 449, 449, 449, 449, 449, 449, 449, 449, 449, 420, 345, 261, 172, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[488, 421, 360, 311, 282, 271, 271, 271, 271, 271, 271, 271, 271, 271, 271, 271, 271, 261, 172, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[452, 367, 288, 221, 173, 144, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 134, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[626, 624, 625, 626, 623, 612, 593, 566, 532, 488, 427, 347, 263, 173, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[617, 598, 598, 598, 598, 598, 586, 559, 525, 481, 420, 345, 261, 172, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
plugin_cars,"[1, 2, 6, 12, 22, 36, 55, 80, 109, 143, 175, 206, 236, 262, 286, 309, 308, 307, 303, 297, 287, 273, 254, 229, 200, 166, 134, 103, 73, 47, 23]","[1, 2, 6, 12, 22, 36, 55, 80, 109, 143, 175, 206, 236, 262, 286, 309, 308, 307, 303, 297, 287, 273, 254, 229, 200, 166, 134, 103, 73, 47, 23]","[1, 2, 5, 10, 19, 32, 48, 67, 87, 107, 122, 122, 122, 122, 122, 122, 121, 120, 117, 112, 103, 90, 74, 55, 35, 15, 0, 0, 0, 0, 0]","[1, 2, 5, 10, 17, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 25, 24, 21, 16, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 5, 10, 18, 29, 43, 61, 82, 107, 130, 152, 174, 193, 210, 226, 225, 224, 221, 216, 208, 197, 183, 165, 144, 119, 96, 74, 52, 33, 16]","[1, 2, 6, 12, 22, 36, 55, 80, 109, 143, 175, 206, 236, 262, 286, 309, 308, 307, 303, 297, 287, 273, 254, 229, 200, 166, 134, 103, 73, 47, 23]","[1, 2, 6, 12, 22, 36, 55, 80, 109, 143, 175, 206, 236, 262, 286, 309, 308, 307, 303, 297, 287, 273, 254, 229, 200, 166, 134, 103, 73, 47, 23]","[1, 2, 6, 12, 22, 36, 55, 80, 109, 143, 175, 206, 236, 262, 286, 309, 308, 307, 303, 297, 287, 273, 254, 229, 200, 166, 134, 103, 73, 47, 23]","[0, 0, 0, 1, 5, 12, 23, 36, 51, 66, 77, 77, 77, 77, 77, 77, 77, 77, 77, 76, 72, 65, 54, 41, 26, 11, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 7, 15, 26, 38, 50, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 56, 51, 43, 32, 20, 8, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 8, 18, 32, 50, 65, 78, 90, 99, 107, 118, 118, 118, 118, 118, 118, 116, 110, 100, 86, 68, 53, 40, 28, 19, 11]","[0, 0, 0, 0, 0, 0, 1, 6, 15, 27, 37, 45, 52, 57, 61, 66, 66, 66, 66, 66, 66, 66, 65, 60, 51, 39, 29, 21, 14, 9, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 6, 15, 21, 26, 30, 32, 34, 37, 37, 37, 37, 37, 37, 37, 37, 36, 31, 22, 16, 11, 7, 5, 3]","[0, 0, 1, 3, 7, 10, 10, 10, 10, 10, 10, 10, 10, 9, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
conv_cars,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 6, 12, 22, 38, 60, 89, 124, 165, 213, 259, 306, 355, 403, 455, 516, 606, 688, 771, 850, 926, 939, 953, 967, 980, 991, 996, 992, 986, 976, 960]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 6, 13, 24, 33, 43, 54, 64, 77, 96, 122, 148, 176, 203, 228, 150, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 10, 14, 20, 29, 36, 46, 62, 82, 104, 127, 149, 170, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demand_difference,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 5.7220458984375e-05, 378187969.92479706, 756375939.8496475, 1134563909.7744446, 1512751879.699295, 1890939849.624092, 2269127819.5488853, 2647315789.4736824, 3025503759.398533, 3403691729.32333, 3781879699.2481804, 4160067669.17292, 4538255639.097771, 4916443609.022568, 5294631578.947418, 5672819548.872158, 6051007518.7970085, 6429195488.721806, 6807383458.646652, 7185571428.571449, 7386285714.285698, 7586999999.999996, 7787714285.714294, 7988428571.428593, 8189142857.142834, 8389857142.857132, 8590571428.57143, 8791285714.285728, 8992000000.000027]","[0, 0, 0.00011444091796875, 1149089285.7145233, 2298178571.4287643, 3447267857.1430054, 4596357142.857243, 5745446428.5717125, 6894535714.2858925, 8043625000.0001335, 9192714285.714375, 9393428571.428593, 9594142857.14289, 9794857142.857132, 9995571428.57143, 10196285714.285728, 10397000000.000027, 10597714285.714268, 10798428571.428566, 10999142857.142864, 11199857142.857159, 11400571428.571457, 11601285714.285698, 11801999999.999996, 12002714285.714294, 12203428571.428593, 12404142857.142834, 12604857142.857132, 12805571428.57143, 13006285714.285728, 13207000000.000027]","[0, 0, 0.000568389892578125, 2616752285.714199, 5233504571.428795, 7850256857.143394, 10467009142.857082, 13083761428.571678, 13284475714.285694, 13485189999.999992, 13685904285.71429, 13886618571.428589, 14087332857.142887, 14288047142.857128, 14488761428.571426, 14689475714.285725, 14890190000.000023, 15090904285.714264, 15291618571.428562, 15492332857.14286, 15693047142.857155, 15893761428.571453, 16094475714.285694, 16295189999.999992, 16495904285.71429, 16696618571.428589, 16897332857.14283, 17098047142.857128, 17298761428.571426, 17499475714.285725, 17700190000.000023]","[0, 0, 0.000568389892578125, 3909914285.715046, 7819828571.428673, 11729742857.143208, 15639657142.857744, 19549571428.57137, 19750285714.285698, 19950999999.999996, 20151714285.714294, 20352428571.428593, 20553142857.14289, 20753857142.857132, 20954571428.57143, 21155285714.28573, 21356000000.000027, 21556714285.714268, 21757428571.428566, 21958142857.142864, 22158857142.85716, 22359571428.571457, 22560285714.285698, 22760999999.999996, 22961714285.714294, 23162428571.428593, 23363142857.142834, 23563857142.857132, 23764571428.57143, 23965285714.28573, 24166000000.000027]","[0, 0, 0, 4752914285.713985, 9505828571.428368, 14258742857.14275, 19011657142.857132, 23764571428.571514, 23965285714.285698, 24165999999.999996, 24366714285.714294, 24567428571.428593, 24768142857.14289, 24968857142.857132, 25169571428.57143, 25370285714.28573, 25571000000.000027, 25771714285.714268, 25972428571.428566, 26173142857.142864, 26373857142.85716, 26574571428.571457, 26775285714.285698, 26975999999.999996, 27176714285.714294, 27377428571.428593, 27578142857.142834, 27778857142.857132, 27979571428.57143, 28180285714.28573, 28381000000.000027]","[0, 0, 0, 7319380952.379276, 14638761904.76077, 21958142857.142265, 22158857142.85716, 22359571428.571457, 22560285714.285698, 22760999999.999996, 22961714285.714294, 23162428571.428593, 23363142857.14289, 23563857142.857132, 23764571428.57143, 23965285714.28573, 24166000000.000027, 24366714285.714268, 24567428571.428566, 24768142857.142864, 24968857142.85716, 25169571428.571457, 25370285714.285698, 25570999999.999996, 25771714285.714294, 25972428571.428593, 26173142857.142834, 26373857142.857132, 26574571428.57143, 26775285714.28573, 26976000000.000027]","[0, 0, 0, 5146314285.714821, 10292628571.428223, 15438942857.143446, 20585257142.856846, 25731571428.572067, 25932285714.285698, 26132999999.999996, 26333714285.714294, 26534428571.428593, 26735142857.14289, 26935857142.857132, 27136571428.57143, 27337285714.28573, 27538000000.000027, 27738714285.714268, 27939428571.428566, 28140142857.142864, 28340857142.85716, 28541571428.571457, 28742285714.285698, 28942999999.999996, 29143714285.714294, 29344428571.428593, 29545142857.142834, 29745857142.857132, 29946571428.57143, 30147285714.28573, 30348000000.000027]"
