Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
2025,2020,0.2,840,-50,10,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025,2020,0.2,840,-50,10,1,5,0.004550310859909415,3.6296114060338143,0.9904986201494274,0.014447089278333332,0.3761715898358329,0.11733637980166661,248742340.8803602,55587908612.40608,12569578994.284182,302264000.0,9028786000.0,2335154000
2025,2020,0.2,840,-50,10,1,5,0.010639700923030123,7.214850218836435,1.9671423473588305,0.022487608605833334,0.4884616166524996,0.15184707974333328,582607656.1020917,110450867987.07675,25023047198.263733,457456000.0,11723946000.0,3021964000
2025,2020,0.2,840,-50,10,1,5,0.02025747319821154,10.729151387792008,2.9223764939153862,0.08995043442333335,0.6512821555366664,0.21396633963833325,1107818197.9984522,164174097535.80746,37259035666.9935,1829824000.0,15631928000.0,4258222000
2025,2020,0.2,840,-50,10,1,5,0.03513372723066275,13.79784790713077,3.754268983594419,0.26671263207249996,0.8197171957616665,0.30369415948666656,1919182334.3568344,211027645411.17743,47966715378.681175,5358640000.0,19674668000.0,6043928000
2025,2020,0.2,840,-50,10,1,5,0.05719541678216004,16.40693851390305,4.4594672817759236,0.6010173175183329,0.9769232333049999,0.42103053928833317,3120828375.098118,250809253072.29037,57108054370.407974,11975056000.0,23447892000.0,8379082000
2025,2020,0.2,840,-50,10,1,5,0.08399412845092778,18.593325616086712,5.04889358598228,0.9691180296508324,1.0667552547583332,0.5314647791016665,4572798080.492902,284106223413.2711,64774990087.67166,19220360000.0,25604020000.0,10576874000
2025,2020,0.2,840,-50,10,1,5,0.11565608523558968,20.365707141048688,5.525469587226345,1.5158733439208316,1.0667552547583332,0.6488011589033331,6270828675.15681,311066011531.5588,70995222859.88153,29773416000.0,25604020000.0,12912028000
2025,2020,0.2,840,-50,10,1,5,0.1515308250272609,21.75292081742012,5.8975783934089065,2.0947907355008306,1.0667552547583332,0.7730396786933331,8203824742.776206,332143616269.08014,75875379343.17606,40947240000.0,25604020000.0,15384544000
2025,2020,0.2,840,-50,10,1,5,0.1970371013277354,23.054991795631178,6.2462371473574985,2.64958656909833,1.0667552547583332,0.8903760584949998,10662508055.519768,351911659345.2447,80461712645.04915,51655488000.0,25604020000.0,17719698000
2025,2020,0.2,840,-50,10,1,5,0.2540163710628606,24.260039316033183,6.568481678690981,3.2847875959708293,1.0667552547583332,1.0215167182733331,13747477475.546795,370195411598.1741,84705798408.05719,63915656000.0,25604020000.0,20329576000
2025,2020,0.2,840,-50,10,1,5,0.3262324491358715,25.34047234301093,6.857163295631189,4.104920567375828,1.0667552547583332,1.1940702179816665,17664441728.34195,386582208951.9699,88516826123.09647,79745240000.0,25604020000.0,23763626000
2025,2020,0.2,840,-50,10,1,5,0.4240794119872791,26.21188683993832,7.089741814137918,5.479849372378331,1.0667552547583332,1.4839600974916667,22981728532.42685,399792211914.1603,91593252734.81346,106283072000.0,25604020000.0,29532830000
2025,2020,0.2,840,-50,10,1,5,0.545640716294139,26.89531232700884,7.272053218901129,6.64572467486583,1.0667552547583332,1.732437137071667,29594315529.23942,410150015232.2774,94020728224.13098,128785912000.0,25604020000.0,34477862000
2025,2020,0.2,840,-50,10,1,5,0.6939894366982549,27.36411205577041,7.397025134464022,7.900045689955831,1.0667552547583332,2.001620596616667,37671092948.04921,417252784761.6287,95703097146.68726,152995864000.0,25604020000.0,39834980000
2025,2020,0.2,840,-50,10,1,5,0.8697770684297768,27.607829621197368,7.462212128344144,9.09004255042583,1.0667552547583332,2.2569997761850007,47247127849.26048,420950985418.2612,96581653358.73175,175964280000.0,25604020000.0,44917374000
2025,2020,0.2,840,-50,10,1,5,1.0731639701550737,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,58330968342.477745,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
2025,2020,0.2,840,-50,10,1,5,1.2787047454765608,27.622116849662074,7.466268642914901,10.183553178965829,1.0667552547583332,2.491672535788334,69549959178.73466,421173892640.1411,96632488365.13667,197070392000.0,25604020000.0,49587682000
