,Count,Phase-Out:,Net-zero:,Retro-fitting:,Light-weighting:,Modal shift:,Scrap age:,Regulated EV manufacture:,Modal shift rate (years):,Cumulative Electric Emissions,Cumulative Tailpipe Emissions,Cumulative WTT Emissions,Cumulative EV Production Emissions,Cumulative ICE Production Emissions,Cumulative Conversion Production Emissions,Cumulative Electric Energy,Cumulative Tailpipe Energy,Cumulative WTT Energy,Cumulative EV Production Energy,Cumulative ICE Production Energy,Cumulative Conversion Production Energy
0,0,2025,2020,0.0,1400,20,18,0,3,10.872410937088853,64.82710369268904,17.77006521072503,66.519882,1.0208170797841662,0.0,594339382685.3313,999261522524.495,226965651121.37955,675510972000.0,24296238000.0,0
0,0,2025,2020,0.0,1400,20,18,1,3,10.872410937088853,64.82710369268904,17.77006521072503,37.37015952644506,1.0208170797841662,0.0,594339382685.3313,999261522524.495,226965651121.37955,664309572000.0,23402238000.0,0
0,0,2025,2020,0.0,1400,20,14,0,3,13.000513065310194,51.39109087662631,14.06930733930732,73.843341,1.870356126047499,0.0,710671897386.7115,791727842799.6715,180750215028.08917,749689986000.0,44515926000.0,0
0,0,2025,2020,0.0,1400,20,14,1,3,13.000513065310194,51.39109087662631,14.06930733930732,41.43558069055256,1.870356126047499,0.0,710671897386.7115,791727842799.6715,180750215028.08917,737217986000.0,42877926000.0,0
0,0,2025,2020,0.0,1400,20,10,0,3,14.702670340403094,40.61581681731326,11.102487181361305,78.067704,4.412122143496667,0.0,803720174348.0757,625318038111.0927,143892637387.12735,792304884000.0,105011928000.0,0
0,0,2025,2020,0.0,1400,20,10,1,3,14.702670340403094,40.61581681731326,11.102487181361305,43.73624839125002,4.412122143496667,0.0,803720174348.0757,625318038111.0927,143892637387.12735,779065984000.0,101147928000.0,0
0,0,2025,2020,0.0,1400,0,18,0,3,8.715681792512704,58.55496309438337,16.037213446429938,53.975922000000004,0.21238476156583336,0.0,476441974665.7102,902254364451.0026,204755103475.03766,548192112000.0,5054922000.0,0
0,0,2025,2020,0.0,1400,0,18,1,3,8.715681792512704,58.55496309438337,16.037213446429938,30.33981032813505,0.21238476156583336,0.0,476441974665.7102,902254364451.0026,204755103475.03766,539115812000.0,4868922000.0,0
0,0,2025,2020,0.0,1400,0,14,0,3,10.643926940894792,46.37748922096441,12.689028432029348,61.24404000000001,1.082477171851667,0.0,581849325232.8208,714302932323.1775,162908064847.75342,621828440000.0,25763796000.0,0
0,0,2025,2020,0.0,1400,0,14,1,3,10.643926940894792,46.37748922096441,12.689028432029348,34.37907840101339,1.082477171851667,0.0,581849325232.8208,714302932323.1775,162908064847.75342,611494640000.0,24815796000.0,0
0,0,2025,2020,0.0,1400,0,10,0,3,12.14882792201262,36.79756388592502,10.052810607594976,65.48685,3.6173920679599982,0.0,664114604322.7633,566389350906.9274,130249419637.80135,664621000000.0,86096736000.0,0
0,0,2025,2020,0.0,1400,0,10,1,3,12.14882792201262,36.79756388592502,10.052810607594976,36.68763685566168,3.6173920679599982,0.0,664114604322.7633,566389350906.9274,130249419637.80135,653515300000.0,82928736000.0,0
0,0,2025,2020,0.0,1400,-20,18,0,3,6.552987022547299,52.181749438846225,14.346318407024489,41.83779599999999,0.0,0.0,358218456261.5779,805367347547.4406,181825541991.70566,424937016000.0,0.0,0
0,0,2025,2020,0.0,1400,-20,18,1,3,6.552987022547299,52.181749438846225,14.346318407024489,23.52275098677004,0.0,0.0,358218456261.5779,805367347547.4406,181825541991.70566,417906216000.0,0.0,0
0,0,2025,2020,0.0,1400,-20,14,0,3,8.310689464482527,41.20766990722365,11.271602871331249,48.42337500000001,0.36310943106416677,0.0,454303104857.82635,634606746806.2207,144513441622.80322,491708850000.0,8642286000.0,0
0,0,2025,2020,0.0,1400,-20,14,1,3,8.310689464482527,41.20766990722365,11.271602871331249,27.195636282167545,0.36310943106416677,0.0,454303104857.82635,634606746806.2207,144513441622.80322,483548550000.0,8324286000.0,0
0,0,2025,2020,0.0,1400,-20,10,0,3,9.62010851926485,32.84133464055729,8.966372528441955,52.905996,2.8089597497416623,0.0,525882381726.4837,505359392167.214,116126679335.08168,536927416000.0,66855420000.0,0
0,0,2025,2020,0.0,1400,-20,10,1,3,9.62010851926485,32.84133464055729,8.966372528441955,29.63654449069668,2.8089597497416623,0.0,525882381726.4837,505359392167.214,116126679335.08168,527953016000.0,64395420000.0,0
0,0,2025,2020,0.0,1400,-40,18,0,3,4.623021768978624,44.70038823719669,12.388722952239752,30.566678999999997,0.0,0.0,252717076296.52637,692291785707.556,154771132140.80048,310458834000.0,0.0,0
0,0,2025,2020,0.0,1400,-40,18,1,3,4.623021768978624,44.70038823719669,12.388722952239752,17.18571357366752,0.0,0.0,252717076296.52637,692291785707.556,154771132140.80048,305322134000.0,0.0,0
0,0,2025,2020,0.0,1400,-40,14,0,3,5.983802933039206,35.976532590398726,9.872778073664746,35.97165,0.12332018413500001,0.0,327104058328.1361,554818361268.5167,125742360016.4499,365307400000.0,2935116000.0,0
0,0,2025,2020,0.0,1400,-40,14,1,3,5.983802933039206,35.976532590398726,9.872778073664746,20.212183341741685,0.12332018413500001,0.0,327104058328.1361,554818361268.5167,125742360016.4499,359252900000.0,2827116000.0,0
0,0,2025,2020,0.0,1400,-40,10,0,3,7.117480357198099,28.743066720703695,7.844405980248566,40.306695,2.0210807955458314,0.0,389076434495.4419,442222070988.14935,101499635882.76079,409075570000.0,48103290000.0,0
