Policies,Emissions,Energy
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",103.9949824,1.61112E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",84.2617778,1.60349E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",102.8295434,1.616E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",81.60180471,1.60752E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",102.575428,1.63669E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",80.05878729,1.62686E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",101.9777677,1.66008E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -20, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",78.70831619,1.64865E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",89.71769685,1.3343E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",76.82933184,1.32935E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",86.86885736,1.31291E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",73.48789194,1.30778E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",85.17868946,1.30446E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",70.69946736,1.2989E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",84.10470528,1.30415E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",68.34523862,1.29798E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",83.42881183,1.31196E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",66.48479063,1.30495E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",83.40048221,1.33888E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -40, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",65.67631024,1.33028E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",69.36736434,1.02606E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",60.775121,1.02276E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",67.15024873,1.00768E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",58.44494955,1.00433E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",66.14361637,1.00047E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",56.72768053,9.96859E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",65.32680914,9.96675E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",54.90704081,9.92656E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",63.85352713,9.89386E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",52.83248216,9.84937E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 10, 'Regulated EV manufacture:', 0)",64.68132548,1.01677E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -60, 'Scrap age:', 10, 'Regulated EV manufacture:', 1)",52.49187681,1.011E+12
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 20, 'Regulated EV manufacture:', 0)",49.16299108,7.1124E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 20, 'Regulated EV manufacture:', 1)",44.86686941,7.09591E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 18, 'Regulated EV manufacture:', 0)",47.70412235,7.01358E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 18, 'Regulated EV manufacture:', 1)",43.40800068,6.99708E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 16, 'Regulated EV manufacture:', 0)",46.41780699,6.92839E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 16, 'Regulated EV manufacture:', 1)",41.81481948,6.91072E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 14, 'Regulated EV manufacture:', 0)",46.24035526,6.90678E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 14, 'Regulated EV manufacture:', 1)",40.99940984,6.88667E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 12, 'Regulated EV manufacture:', 0)",47.28439696,7.02443E+11
"('Phase-Out:', 2025, 'Net-zero:', 2020, 'Retro-fitting:', 0, 'Light-weighting:', 1400, 'Modal shift:', -80, 'Scrap age:', 12, 'Regulated EV manufacture:', 1)",40.7035653,6.99848E+11
